"run_id","invocation_id","parent_build_id","pair_id","order","profile","scenario","scope","linker","fixture_sha256","source_sha256","cache_policy","output_state","diagnostic_mode","sample_ms","lld_threads","warmup","collector_sha256","post_exit_grace_ms","application_link","capture","exit_code","valid","wall_s","tree_wall_s","cpu_user_s","cpu_kernel_s","tree_cpu_s","average_logical_cpus","peak_tree_commit_bytes","observed_peak_working_set_bytes","tree_page_faults","observed_peak_threads","tree_process_count","read_bytes","write_bytes","read_operations","write_operations","exe_bytes","pdb_bytes","estimated_other_cpu_s","warning_count","started_unix_ms","command_sha256","metrics_path"
"dev-calibration-lld-20260913T202112561-14976d91",,,"calibration-20260913T202026763-5bf67f5f-lld-0","0","dev","calibration","linker","lld","52d38d7028b73b09ea70576be7fc63f5d29350c857307511ad09abe805f54e6e","132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","0","0","False",,"1000","True",,"0","True","4,3789109","4,3789307","11,421875","3,171875","14,578125","3,3291517949804508","1571053568",,"1352981",,"2","298198","18262","39","2","173348864","870604800","2,9375","0","1789330872589","17e60c7c1b9903e12c2afc51ca566b9abfa1caa6dcf21d06d13d6195a23ac270","C:\Users\sampo\git\GitComet\target\linker-bench\20260913-main\runs\dev-calibration-lld-20260913T202112561-14976d91\metrics.json"
"dev-calibration-lld-20260913T202118033-5c009b79",,,"calibration-20260913T202026763-5bf67f5f-lld-0","1","dev","calibration","linker","lld","52d38d7028b73b09ea70576be7fc63f5d29350c857307511ad09abe805f54e6e","132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","50","0","False",,"1000","True",,"0","True","4,5328230000000005","4,5328345","11,609375","2,9375","14,546875","3,209222617768198","1570037760","4947476480","1352547","37","2","298198","18262","39","2","173348864","870604800","2,6875","0","1789330878057","2021177b85bd9ba8499db7ef105d6f06ecbbb7f091743d3d62b2ced2dedb20f5","C:\Users\sampo\git\GitComet\target\linker-bench\20260913-main\runs\dev-calibration-lld-20260913T202118033-5c009b79\metrics.json"
"dev-calibration-lld-20260913T202123656-951760eb",,,"calibration-20260913T202026763-5bf67f5f-lld-1","0","dev","calibration","linker","lld","52d38d7028b73b09ea70576be7fc63f5d29350c857307511ad09abe805f54e6e","132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","50","0","False",,"1000","True",,"0","True","4,52123","4,5212425","12,0625","2,765625","14,8125","3,2762011769994643","1571258368","4948692992","1353183","37","2","298198","18262","39","2","173348864","870604800","4,765625","0","1789330883680","8ba7dc7f5e08dd5eab47b98b3de65e9f82dd7806db1f7b6adce650f208e40a6a","C:\Users\sampo\git\GitComet\target\linker-bench\20260913-main\runs\dev-calibration-lld-20260913T202123656-951760eb\metrics.json"
"dev-calibration-lld-20260913T202129274-a1887e29",,,"calibration-20260913T202026763-5bf67f5f-lld-1","1","dev","calibration","linker","lld","52d38d7028b73b09ea70576be7fc63f5d29350c857307511ad09abe805f54e6e","132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","0","0","False",,"1000","True",,"0","True","4,4227573","4,4227843","11,015625","2,796875","13,828125","3,126565543791046","1570074624",,"1353101",,"2","298198","18262","39","2","173348864","870604800","2,140625","0","1789330889316","b82040b98284c3c4b79ad0762a0087eb2f17aefb4c2cf8701399751a5407bf3d","C:\Users\sampo\git\GitComet\target\linker-bench\20260913-main\runs\dev-calibration-lld-20260913T202129274-a1887e29\metrics.json"
"dev-calibration-lld-20260913T202134812-9c1ca553",,,"calibration-20260913T202026763-5bf67f5f-lld-2","0","dev","calibration","linker","lld","52d38d7028b73b09ea70576be7fc63f5d29350c857307511ad09abe805f54e6e","132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","0","0","False",,"1000","True",,"0","True","4,3797702","4,3797908","11,015625","2,984375","14","3,196499704963077","1575366656",,"1353758",,"2","298198","18262","39","2","173348864","870604800","2,375","0","1789330894841","69dade68b27cdfa5dd93685e2380ce20716e25499c4d8c39719cbd7134f2d26a","C:\Users\sampo\git\GitComet\target\linker-bench\20260913-main\runs\dev-calibration-lld-20260913T202134812-9c1ca553\metrics.json"
"dev-calibration-lld-20260913T202140274-b25ea7b9",,,"calibration-20260913T202026763-5bf67f5f-lld-2","1","dev","calibration","linker","lld","52d38d7028b73b09ea70576be7fc63f5d29350c857307511ad09abe805f54e6e","132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","50","0","False",,"1000","True",,"0","True","4,4971123","4,4971286","12,546875","3,09375","15,65625","3,4813881017322923","1569021952","4946927616","1352432","37","2","298198","18262","39","2","173348864","870604800","3,4375","0","1789330900298","92c99495500bc51fe48921c97014256039bdededb8d5c69ea12c1558ad21689b","C:\Users\sampo\git\GitComet\target\linker-bench\20260913-main\runs\dev-calibration-lld-20260913T202140274-b25ea7b9\metrics.json"
"dev-calibration-msvc-20260913T202026830-53aef0d6",,,"calibration-20260913T202026763-5bf67f5f-msvc-0","0","dev","calibration","linker","msvc","52d38d7028b73b09ea70576be7fc63f5d29350c857307511ad09abe805f54e6e","132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","0","0","False",,"1000","True",,"0","True","5,4488527","6,4516952","8,34375","4,9375","13,765625","2,13364465822874","3035713536",,"1905740",,"4","3184525522","775089209","7532","22219","173351424","778440704","2,921875","0","1789330826881","46b9fc24fca3beecd7b7bb332ef536b6b38ffc050d894f87282ec9fb8e6fae37","C:\Users\sampo\git\GitComet\target\linker-bench\20260913-main\runs\dev-calibration-msvc-20260913T202026830-53aef0d6\metrics.json"
"dev-calibration-msvc-20260913T202034544-1fbc168e",,,"calibration-20260913T202026763-5bf67f5f-msvc-0","1","dev","calibration","linker","msvc","52d38d7028b73b09ea70576be7fc63f5d29350c857307511ad09abe805f54e6e","132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","50","0","False",,"1000","True",,"0","True","5,7235668","6,7264588","8,28125","4,8125","13,484375","2,0046766658260067","3021176832","5411241984","1946648","38","4","3184525522","775115897","7532","22226","173351424","778440704","7,078125","0","1789330834585","23dcc73365b34b91403a27274a0bfc1fec4b47edfa612a4c54ba7612354d7ed0","C:\Users\sampo\git\GitComet\target\linker-bench\20260913-main\runs\dev-calibration-msvc-20260913T202034544-1fbc168e\metrics.json"
"dev-calibration-msvc-20260913T202042272-90e5674b",,,"calibration-20260913T202026763-5bf67f5f-msvc-1","0","dev","calibration","linker","msvc","52d38d7028b73b09ea70576be7fc63f5d29350c857307511ad09abe805f54e6e","132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","50","0","False",,"1000","True",,"0","True","5,6920622","6,6945422","8,5","4,671875","13,609375","2,0329059991585385","3027902464","5420146688","1943480","38","4","3184525522","775089963","7532","22226","173351424","778440704","5,90625","0","1789330842299","6c09a4c6a3c9f7edec9456b2b529f16685b4d75279af42fc31364b60ba257bb8","C:\Users\sampo\git\GitComet\target\linker-bench\20260913-main\runs\dev-calibration-msvc-20260913T202042272-90e5674b\metrics.json"
"dev-calibration-msvc-20260913T202049947-e99d1851",,,"calibration-20260913T202026763-5bf67f5f-msvc-1","1","dev","calibration","linker","msvc","52d38d7028b73b09ea70576be7fc63f5d29350c857307511ad09abe805f54e6e","132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","0","0","False",,"1000","True",,"0","True","5,5327861","6,5356015","8,03125","4","12,453125","1,9054290565298388","3036815360",,"1920431",,"4","3184525522","775090083","7532","22226","173351424","778432512","3,640625","0","1789330849971","5ea8c40b4bdf70481254636ba8dd3e008b564ce9f2ed8b5ba71b85e72980af37","C:\Users\sampo\git\GitComet\target\linker-bench\20260913-main\runs\dev-calibration-msvc-20260913T202049947-e99d1851\metrics.json"
