"profile","scenario","scope","fixture_sha256","source_sha256","cache_policy","output_state","diagnostic_mode","sample_ms","lld_threads","collector_sha256","post_exit_grace_ms","linker","metric","attempts","failures","q75","min","p95","n","q25","sd","mean","max","median"
"dev","calibration","linker","52d38d7028b73b09ea70576be7fc63f5d29350c857307511ad09abe805f54e6e","132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","0","0",,"1000","msvc","wall_s","3","0","5,529681500000001","5,4488527",,"3","5,4877148","0,04676968581221551","5,502738566666667","5,5327861","5,5265769"
"dev","calibration","linker","52d38d7028b73b09ea70576be7fc63f5d29350c857307511ad09abe805f54e6e","132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","0","0",,"1000","msvc","tree_cpu_s","3","0","13,4375","12,453125",,"3","12,78125","0,65625","13,109375","13,765625","13,109375"
"dev","calibration","linker","52d38d7028b73b09ea70576be7fc63f5d29350c857307511ad09abe805f54e6e","132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","0","0",,"1000","msvc","peak_tree_commit_bytes","3","0","3044349952","3035713536",,"3","3036264448","9035078,142891148","3041471146,6666665","3051884544","3036815360"
"dev","calibration","linker","52d38d7028b73b09ea70576be7fc63f5d29350c857307511ad09abe805f54e6e","132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","0","0",,"1000","msvc","observed_peak_working_set_bytes","3","0",,,,"0",,,,,
"dev","calibration","linker","52d38d7028b73b09ea70576be7fc63f5d29350c857307511ad09abe805f54e6e","132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","0","0",,"1000","msvc","read_bytes","3","0","3184525522","3184525522",,"3","3184525522","0","3184525522","3184525522","3184525522"
"dev","calibration","linker","52d38d7028b73b09ea70576be7fc63f5d29350c857307511ad09abe805f54e6e","132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","0","0",,"1000","msvc","write_bytes","3","0","775090034","775089209",,"3","775089597","478,8277352033819","775089759","775090083","775089985"
"dev","calibration","linker","52d38d7028b73b09ea70576be7fc63f5d29350c857307511ad09abe805f54e6e","132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","0","0",,"1000","msvc","tree_page_faults","3","0","1931664,5","1905740",,"3","1913085,5","18714,114699872927","1923023","1942898","1920431"
"dev","calibration","linker","52d38d7028b73b09ea70576be7fc63f5d29350c857307511ad09abe805f54e6e","132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","0","0",,"1000","msvc","exe_bytes","3","0","173351424","173351424",,"3","173351424","0","173351424","173351424","173351424"
"dev","calibration","linker","52d38d7028b73b09ea70576be7fc63f5d29350c857307511ad09abe805f54e6e","132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","0","0",,"1000","msvc","pdb_bytes","3","0","778440704","778432512",,"3","778436608","4729,653405201415","778437973,3333334","778440704","778440704"
"dev","calibration","linker","52d38d7028b73b09ea70576be7fc63f5d29350c857307511ad09abe805f54e6e","132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","0","0",,"1000","lld","wall_s","3","0","4,40126375","4,3789109",,"3","4,37934055","0,025070354191953238","4,3938128","4,4227573","4,3797702"
"dev","calibration","linker","52d38d7028b73b09ea70576be7fc63f5d29350c857307511ad09abe805f54e6e","132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","0","0",,"1000","lld","tree_cpu_s","3","0","14,2890625","13,828125",,"3","13,9140625","0,39290998359463114","14,135416666666666","14,578125","14"
"dev","calibration","linker","52d38d7028b73b09ea70576be7fc63f5d29350c857307511ad09abe805f54e6e","132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","0","0",,"1000","lld","peak_tree_commit_bytes","3","0","1573210112","1570074624",,"3","1570564096","2815630,8393177777","1572164949,3333333","1575366656","1571053568"
"dev","calibration","linker","52d38d7028b73b09ea70576be7fc63f5d29350c857307511ad09abe805f54e6e","132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","0","0",,"1000","lld","observed_peak_working_set_bytes","3","0",,,,"0",,,,,
"dev","calibration","linker","52d38d7028b73b09ea70576be7fc63f5d29350c857307511ad09abe805f54e6e","132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","0","0",,"1000","lld","read_bytes","3","0","298198","298198",,"3","298198","0","298198","298198","298198"
"dev","calibration","linker","52d38d7028b73b09ea70576be7fc63f5d29350c857307511ad09abe805f54e6e","132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","0","0",,"1000","lld","write_bytes","3","0","18262","18262",,"3","18262","0","18262","18262","18262"
"dev","calibration","linker","52d38d7028b73b09ea70576be7fc63f5d29350c857307511ad09abe805f54e6e","132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","0","0",,"1000","lld","tree_page_faults","3","0","1353429,5","1352981",,"3","1353041","418,2857874707196","1353280","1353758","1353101"
"dev","calibration","linker","52d38d7028b73b09ea70576be7fc63f5d29350c857307511ad09abe805f54e6e","132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","0","0",,"1000","lld","exe_bytes","3","0","173348864","173348864",,"3","173348864","0","173348864","173348864","173348864"
"dev","calibration","linker","52d38d7028b73b09ea70576be7fc63f5d29350c857307511ad09abe805f54e6e","132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","0","0",,"1000","lld","pdb_bytes","3","0","870604800","870604800",,"3","870604800","0","870604800","870604800","870604800"
